,sector,instrument,policy_country_iso_code,year
10,GeneralSector,CodesStandards,10,2016
11,GeneralSector,DirectInvestment,11,2016
12,GeneralSector,FiscalFinancialIncentives,9,2016
13,GeneralSector,Market-basedInstruments,8,2016
14,GeneralSector,VoluntaryApproaches,4,2016
15,IndustrySector,CodesStandards,14,2016
16,IndustrySector,DirectInvestment,11,2016
17,IndustrySector,FiscalFinancialIncentives,14,2016
18,IndustrySector,Market-basedInstruments,7,2016
19,IndustrySector,VoluntaryApproaches,10,2016
20,LandSector,CodesStandards,10,2016
21,LandSector,DirectInvestment,6,2016
22,LandSector,FiscalFinancialIncentives,12,2016
23,LandSector,Market-basedInstruments,4,2016
24,LandSector,VoluntaryApproaches,5,2016
25,TransportSector,CodesStandards,15,2016
26,TransportSector,DirectInvestment,16,2016
27,TransportSector,FiscalFinancialIncentives,15,2016
28,TransportSector,Market-basedInstruments,6,2016
29,TransportSector,VoluntaryApproaches,5,2016
0,BuildingsSector,CodesStandards,16,2017
1,BuildingsSector,DirectInvestment,12,2017
2,BuildingsSector,FiscalFinancialIncentives,15,2017
3,BuildingsSector,Market-basedInstruments,6,2017
4,BuildingsSector,VoluntaryApproaches,10,2017
5,ElectricitySector,CodesStandards,14,2017
6,ElectricitySector,DirectInvestment,15,2017
7,ElectricitySector,FiscalFinancialIncentives,16,2017
8,ElectricitySector,Market-basedInstruments,9,2017
9,ElectricitySector,VoluntaryApproaches,6,2017
10,GeneralSector,CodesStandards,10,2017
11,GeneralSector,DirectInvestment,11,2017
12,GeneralSector,FiscalFinancialIncentives,10,2017
13,GeneralSector,Market-basedInstruments,8,2017
14,GeneralSector,VoluntaryApproaches,4,2017
15,IndustrySector,CodesStandards,14,2017
16,IndustrySector,DirectInvestment,11,2017
17,IndustrySector,FiscalFinancialIncentives,15,2017
18,IndustrySector,Market-basedInstruments,9,2017
19,IndustrySector,VoluntaryApproaches,12,2017
20,LandSector,CodesStandards,10,2017
21,LandSector,DirectInvestment,6,2017
22,LandSector,FiscalFinancialIncentives,13,2017
23,LandSector,Market-basedInstruments,5,2017
24,LandSector,VoluntaryApproaches,5,2017
