policy_country_iso_code,year,N,F,Sp,B,C,N_policies_matrix,N_options,FiscalFinancialIncentives,Market-basedInstruments,CodesStandards,OtherRegulatoryInstruments,RDD,InformationEducation,VoluntaryApproaches,BarrierRemoval,ClimateStrategy,Target,DirectInvestment,SUM_instruments,Economic instruments,Regulatory instruments,Other instruments,SUM_instruments_IPCC
LBN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LBR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LBY,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LCA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LIE,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LKA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LSO,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LTU,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LUX,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LVA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MAR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MCO,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MDA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MDG,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MDV,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MEX,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MHL,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MKD,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MLI,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MLT,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MNE,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MNG,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MOZ,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MRT,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MUS,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MWI,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
MYS,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
NAM,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
NER,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
NGA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
